id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp,data
822bf4f2-3327-30bf-8805-ddb04c3d18ad,-5.98294,-47.19677,2024-09-30 04:29:00,NOAA-20,RIBAMAR FIQUENE,MARANHÃO,Brasil,2109551,21,33,,,,Cerrado,4.3,20240930
fea91942-448b-3eef-983c-bf054864342d,-20.47643,-53.67517,2024-09-30 04:34:00,NOAA-20,RIBAS DO RIO PARDO,MATO GROSSO DO SUL,Brasil,5007109,50,33,,,,Cerrado,1.3,20240930
858e3b4d-cc21-31a8-95ec-49d91f8939ab,-7.88546,-42.66465,2024-09-30 04:29:00,NOAA-20,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,2208874,22,33,,,,Caatinga,2.9,20240930
92536802-570b-3901-b9cf-cc94de6e1a1f,-7.89957,-42.69662,2024-09-29 16:41:00,AQUA_M-T,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,2208874,22,33,,,,Caatinga,40.3,20240929
c45ecc51-eaa9-380f-b90c-a388c5776b7c,-7.88342,-42.67801,2024-09-29 04:02:00,NOAA-21,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,2208874,22,33,,,,Caatinga,2.6,20240929
73087efb-2d08-34da-a9ba-54ccc44cac4d,-7.90182,-42.66724,2024-09-28 16:58:00,NOAA-21,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,2208874,22,33,,,,Caatinga,7.0,20240928
40d73668-7139-3bff-b83d-c9041ddaf9a6,-7.89591,-42.67159,2024-09-28 12:49:00,TERRA_M-T,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,2208874,22,33,,,,Caatinga,21.3,20240928
e2ed6674-d43f-3234-9dd0-1c14ed14f861,-7.87488,-42.68567,2024-09-28 04:19:00,NOAA-21,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,2208874,22,33,,,,Caatinga,0.8,20240928
67b5e2c4-0460-3243-866a-e8eea7224da1,-7.89897,-42.67316,2024-09-28 00:26:00,TERRA_M-M,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,2208874,22,33,,,,Caatinga,5.5,20240928
81292f10-ef71-3f6c-b928-f60bc3606ab1,-8.06817,-45.47722,2024-09-30 04:32:00,NOAA-20,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,2.1,20240930
efa1d03e-2984-3b70-a6fe-d51875d46054,-7.58566,-45.04432,2024-09-29 16:37:00,NOAA-21,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,6.6,20240929
bd049ace-c8a4-37c7-8ca0-210bbe82a11f,-7.58278,-45.071,2024-09-29 04:49:00,NOAA-20,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,1.9,20240929
204ee97a-f289-3e05-bb60-48f34fc53941,-7.59042,-45.06655,2024-09-29 01:07:00,TERRA_M-M,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,57.1,20240929
6c8e4d70-e5f7-3274-923e-27f9b3fb8205,-7.52337,-45.01804,2024-09-28 17:39:00,AQUA_M-T,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,93.4,20240928
74aba1b5-e676-39f2-b087-c82ac6f0e242,-7.82973,-45.4734,2024-09-28 12:49:00,TERRA_M-T,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,21.0,20240928
cef33942-fd08-3dd9-b48d-4a735e6af287,-7.83151,-45.47985,2024-09-28 05:23:00,AQUA_M-M,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,6.3,20240928
6ff69cdc-eab8-3efa-a99f-158ae33c8b9b,-7.831,-45.4739,2024-09-28 00:14:15,METOP-B,RIBEIRO GONÇALVES,PIAUÍ,Brasil,2208908,22,33,,,,Cerrado,,20240928
ac9cde37-24f3-37a2-a3d3-933eeaf5d67d,-13.20857,-51.22605,2024-09-30 05:25:00,NOAA-21,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,2.3,20240930
04ff94a7-bd1e-3322-ae30-f5fc6cb86cfc,-13.21806,-51.23969,2024-09-29 18:17:00,AQUA_M-T,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,24.9,20240929
ef304c15-be63-3847-a1a7-30d90cac0a65,-13.20423,-51.22968,2024-09-29 04:51:00,NOAA-20,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,28.9,20240929
15e154a2-d995-31c2-8177-c28ac00c77ee,-12.85483,-51.14315,2024-09-29 01:05:00,TERRA_M-M,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,7.6,20240929
5762c192-d6c7-3325-9995-9a94e3940bf1,-13.20995,-51.24382,2024-09-28 17:43:00,NOAA-20,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,5.4,20240928
27827644-b077-31d0-8875-2908b60a9132,-13.20408,-51.23724,2024-09-28 12:51:00,TERRA_M-T,RIBEIRÃO CASCALHEIRA,MATO GROSSO,Brasil,5107180,51,33,,,,Cerrado,48.0,20240928
